Verse, Meter
Harsh as it could no harm might be inflicted, trochee
The flower safe with mountains trust injected, trochee
Hey you chillin in my spot, trochee
why did you not ask, trochee
if Id mind you sitting there, trochee
in your Bandits mask, trochee
Couch potato not some man, trochee
just a real cool cat, trochee
Whered you get your cattitude, trochee
I want some of THAT, trochee
Where might be my popcorn bowl, trochee
left where you now sit, trochee
Did you steal it Because I, trochee
wanted more of it, trochee
With your bushy big black tail , trochee
knowing what to do , trochee
you sit comfy on your tush, trochee
making me serve YOU, trochee
Heres a kitty treat ok, trochee
Roly poly pet, trochee
let me rub your tummy tum, trochee
How purrfect you get, trochee
Those past days and times with you are, trochee
stayed forever new in my thought, trochee
I again relive things I ought, trochee
never yea forget or make mar, trochee
Prizes I esteemed then by far, trochee
seem as nothing wastes which I bought, trochee
Baubles no more I think soul sought, trochee
like a wandering mislaid star, trochee
I now see your face again love, trochee
Smiles and golden light brown tresses, trochee
being gentle like small wee dove, trochee
You among all my heart blesses, trochee
Given me from heaven thereof, trochee
I enjoyed great your caresses, trochee
Servin me hard time on boat thats steamin, trochee
doin me best keepin engines goin, trochee
stokin fire and me sweat greatly streamin, trochee
dripping I must keep the coal a throwin, trochee
Gotta stay the furnace face a glowin, trochee
breakin me back goin somewhere so far, trochee
Havent seen the light of day not knowin, trochee
time when I could see a lonesome bright star, trochee
Why did I drink wine with Rose in Mike Bar, trochee
She bedeviled me with wine and sweet kiss, trochee
Old tooth liquored me good showing me scar, trochee
She slips me a Micky these good eyes miss, trochee
Leavin bucket o bad rusty bolts sure, trochee
Taking me chance jumping boat when we moor, trochee
Delicate and beautiful, trochee
is sweet Daisy Shes, trochee
like a flowers petals that, trochee
flutter in the breeze, trochee
Like a daisys center part , trochee
yellow as the sun , trochee
she is bright and cheerful for, trochee
shes a lucky one, trochee
Every evening with a smile, trochee
she is at the door , trochee
waiting for the handsome man, trochee
who she calls Amor, trochee
They embrace when he arrives, trochee
from his job each night, trochee
Always when he sees his wife, trochee
shes a welcome sight, trochee
Friday is their special time , trochee
dinner out in lieu, trochee
of his wifes great cooking and, trochee
shell be wearing blue, trochee
Thats her favorite color so, trochee
date night with her spouse, trochee
Daisy wears a bright blue dress, trochee
or blue skirt with blouse, trochee
Yellow is the silken hair, trochee
falling round her face, trochee
Other times her hair is up, trochee
Both styles show her grace, trochee
Ah youve got on dancing shoes, trochee
hubbie says to her, trochee
Will we dance tonight she asks, trochee
her voice like a purr, trochee
Never does her spouse say no, trochee
to his precious queen, trochee
That night they will be the pair, trochee
the most joyful seen, trochee
Blue her eyes will shine for him, trochee
like the sapphire stone, trochee
that he bought to give to her, trochee
when theyre all alone, trochee
Every day his actions say, trochee
that he will stay true, trochee
You are my Blue Daisy he, trochee
whispers I love you, trochee
Californias oldest mission, trochee
Shrine provides appreciation, trochee
viewing proselytization, trochee
Converts business, trochee
making tribes of Christian passion, trochee
Seeds brought priests bless, trochee
When I was a little girl, trochee
Mother said to me, trochee
on my dads side there had been, trochee
a pure Cherokee, trochee
I felt so proud that I had, trochee
in my ancestry, trochee
blood of those who roamed this land, trochee
throughout history, trochee
Id been born with thick black hair, trochee
and my nose grew long, trochee
I supposed the Cherokee, trochee
in my blood was strong, trochee
Mom is Welsh and proud of it, trochee
saying I am full, trochee
of her Welsh vim and vigor, trochee
plus a poets soul, trochee
Of my sisters theres just one, trochee
with my longnosed look, trochee
Ive got the results of the, trochee
blood test that she took, trochee
By her DNA we see, trochee
Moms side very well , trochee
ScotchIrish Welsh Finnish too, trochee
I think thats all swell, trochee
My dads side are the English, trochee
Thats what I suppose, trochee
Theres no Cherokee so from, trochee
whense came my humped nose, trochee
One small part Italian showed, trochee
on the test shed sought, trochee
For ONE percent is it that, trochee
Roman nose I got, trochee
Barking at the people who, trochee
walk behind our house, trochee
is a dog that as a pup, trochee
was bought by my spouse, trochee
Tiny border collie mix, trochee
he was meant to be, trochee
but a Texas cow dog is, trochee
what most people see, trochee
Chocolatecaramel nutty too, trochee
so it seems just right, trochee
hes named for a candy bar, trochee
just dont take a bite, trochee
One day looking at the sky, trochee
though I dont know why, trochee
standing in my underwear, trochee
what did I descry, trochee
There were piglets in my yard, trochee
Do you think I lie, trochee
Pink with wings They took off, trochee
up into the sky, trochee
All the times I heard it said, trochee
Yeah when pigs can fly, trochee
How I wished for a witness, trochee
that could testify, trochee
But nobody was around , trochee
not that I could spy, trochee
I grew tired and then lay down, trochee
with a weary sigh, trochee
That strange sight which I had seen, trochee
I could not deny, trochee
till I woke my head pounding, trochee
so bad I could cry, trochee
With my senses coming back, trochee
I guessed by and by, trochee
It was me and not pink pigs, trochee
that was flying high, trochee
Showers April brought to us , trochee
showers more than sun, trochee
and I just kept wondering, trochee
when they would be done, trochee
May arrived and in the sky, trochee
clouds were dark with rain, trochee
Then it even snowed a bit, trochee
Nature seemed insane, trochee
My poor roses on the bush, trochee
still they havent bloomed, trochee
Yet today the sun came out, trochee
so they are not doomed, trochee
Just a few more sunny days , trochee
I might see flowers, trochee
Mother Nature please for now, trochee
delay May showers, trochee
Showers fall and robins call, trochee
Buds grow on the trees, trochee
Meadows green long grasses lean, trochee
warmed by Aprils breeze, trochee
Flowers beam and streamlets gleam, trochee
on each mountain slope, trochee
Colors sing and everything, trochee
blossoms love and hope, trochee
Sentinel oh sentinel, trochee
lofty by the sea, trochee
lonely on a craggy coast, trochee
standing tirelessly, trochee
Watching over ships that sail, trochee
in the dark of night, trochee
guiding them ashore with its, trochee
welcome blinking light, trochee
Storms rise up assailing it , trochee
fierce and turbulent , trochee
causing waves to pound it with, trochee
mighty discontent, trochee
Let the tempests clamor and, trochee
crash They cannot fell, trochee
our towering resilient, trochee
stalwart sentinel, trochee
Well toss me off with a trochee, trochee
And tickle me spondees as well, trochee
If it isnt The Issues Poetry Slam, trochee
And it seems that the bggers can spell, trochee
I spy some spectacular dactyls, trochee
And a neat bit o wit and some verve, trochee
The odd limerick that is totally sick, trochee
And some sht kickin humorous nerve, trochee
Ones a beater of metre oneself as you know, trochee
For by rhythm ones shaken and stirred, trochee
But sometimes free verse can take one from behind, trochee
With a ruddy good earth shaking word, trochee
Choose humour Choose life Take a chance Pen a rhyme, trochee
Look in to form or just wing it, trochee
Write the pain of your heart tell the tale of a fart, trochee
Do what you like but just bring it, trochee
unit of rhythm pattern of the beats, trochee
a foot has syllables two or three, trochee
variety on accent or stress, trochee
iamb is unstressed stressed, trochee
trochee is stressed unstressed, trochee
dactyl stressed unstressed unstressed, trochee
anapest reverse of dactyl, trochee
rhythmic structure of a verse, trochee
 study of metre prosody, trochee
patterns of syllables of types, trochee
stressed syllables at regular interval, trochee
qualitative, trochee
long short short dactyl, trochee
long long spondee in dead classics, trochee
alexandrine twelve syllables in french, trochee
five characters in chinese all rules then, trochee
people had lot of time to spare, trochee
sequence of feet is a metre too, trochee
stressed and unstressed like people, trochee
five iambic feet are iambic pentameter, trochee
paradise lost and sonnets, trochee
trochee is stressed unstressed reverse of iamb then, trochee
spondee anapest dactyl amphibrach pyrrhic, trochee
metric cousins, trochee
iamb in two anapest in three common modern english, trochee
unrhymed iambic penta is blank verse, trochee
bill and milton liked it rhymed pair of lines in, trochee
iambic is heroic couplet now for humor, trochee
When I was young the broom sage grew so tall, trochee
It towered over me fuzzy tickling, trochee
Right there in front of momma harvesting, trochee
Harvesting just enough sage for a broom, trochee
Broom sage to sweep the hearth clean of debris, trochee
A hearth white washed with Georgia kaolin , trochee
Nothing to cover the dirty black sooted bricks, trochee
In summer even the inside was white washed, trochee
Taller now towering over the sage, trochee
Whose sick sparse shoots reach up to claim sunlight, trochee
Purple hues shimmer in breeze wait for spring , trochee
Renewed to live again again again, trochee
Like sage cut fashioned into a hearth broom, trochee
Life is short wears away the youthful joy, trochee
Soon the end in sight retired to kindling, trochee
Laid down upon the white washed inside brick, trochee
Awaiting morn when a spark will ignite, trochee
A roaring fire will spring forth ablaze, trochee
While all the family gathers around, trochee
Warmed by the hearth of a happy snug home, trochee
It would be a wondrous thing, trochee
If I chanced to see, trochee
Unicorns of ocean deep, trochee
Swimming nearby me, trochee
Each one with a  spiraled tusk, trochee
Jutting from its jaw, trochee
Swimming round about me oh, trochee
I would be in awe, trochee
Clicking squealing whistling, trochee
Swimming in their pod, trochee
If I tried to join their group, trochee
Would that seem too odd, trochee
I could try to click at them, trochee
With my little tongue, trochee
If I whistled would they think, trochee
Songs were being sung, trochee
Swimming with some narwhals though , trochee
It will never be, trochee
For Id freeze so deep beneath, trochee
That cold Arctic Sea, trochee
There across the movie screen, trochee
treats were dancing and, trochee
telling us to find them at, trochee
the concession stand, trochee
Yes I knew I should not go, trochee
Id just eaten lunch, trochee
At the snack bar they beguiled, trochee
Have a little munch, trochee
M  Ms and Hershey bars , trochee
chocolaty delight , trochee
with such smooth deep voices asked, trochee
me to take a bite, trochee
Hot dogs nearly barked out Dont, trochee
let us go to waste, trochee
Meanwhile candies sweetly sang, trochee
Have a little taste, trochee
Then an Ice cream bar chimed in, trochee
Take a bite of me, trochee
I can take a licking too, trochee
and most happily, trochee
Pepperoni pizza was, trochee
sure a little tease, trochee
calling out with Nachos Hey, trochee
Weve got lots of cheese, trochee
At that dinein theater, trochee
clamored other food, trochee
Subway Arbys many more, trochee
sounding rather rude, trochee
They were all competing  but, trochee
Popcorn filled the air, trochee
with its heady butter scent, trochee
What a circus there, trochee
All were screaming out to me, trochee
though I dont know why, trochee
Bite me Bite me Dont foods know, trochee
bitten they will die, trochee
Well I bought the popcorn as, trochee
my dear hubbie sighed, trochee
We already had our lunch, trochee
Bite me I replied, trochee
Springtime greenness life release, trochee
Bluebonnets  grow high, trochee
Sweetness  entanglement tastes , trochee
Kiss on purple sky, trochee
Yesterdays bloom colors fade, trochee
Tailored vision dines , trochee
Seeds rising to magical, trochee
Bath liquid sunshine, trochee
Birds doth fly above the sky, trochee
flowers fair and nigh, trochee
as the sun comes shining by, trochee
wet white sand to dry, trochee
Soft the breeze from gentlest seas, trochee
sweetly strums guitar, trochee
lassie sings of love and sees, trochee
sailor from afar, trochee
Setting Sun of countryside, trochee
Ducks skitter in lake, trochee
Picnic basket kids relish, trochee
pie and choco cake, trochee
Taking turns for the frisbee, trochee
till face flushes cool, trochee
Exciting trills of Robin, trochee
water splash of pool, trochee
Gold and moist the cupcakes rise, trochee
Almond flavored  sweet, trochee
In one dash with time precise, trochee
Hunger sneaks a feast, trochee
Mouth aglow I take a bite, trochee
Till I nibble eight, trochee
Sugar binge my sheer delight, trochee
Though Im overweight, trochee
Night emotes in sun whipped sheets, trochee
weaved from rainbow thread, trochee
Blueish greens that shyly wink  , trochee
blushing pink to red, trochee
Promises of better life , trochee
We all hope for it, trochee
Many cut our hearts with knife, trochee
Armless chairs they sit, trochee
We are wise our votes will count , trochee
Empty words were tired, trochee
Extreme pressures we will mount, trochee
Deceits have expired, trochee
Tasty food passes my lips, trochee
Fat begins to show, trochee
Settling on my bum and hips, trochee
I am feeling low, trochee
Heading out towards the gym, trochee
Exercising hard, trochee
Work out done  I look so slim, trochee
In my leotard, trochee
Rosie loves to find a deal , trochee
She will browse around, trochee
Bargain basements have appeal , trochee
shopping underground , trochee
Nosy people tend to say, trochee
how she wastes her time, trochee
Satisfaction comes her way, trochee
If she saves a dime , trochee
As I went to get published, trochee
Stopped for ale and grub, trochee
At a place called the Longfish, trochee
Which is a great pub, trochee
Well that first book it got scrubbed, trochee
Thrown in the rubbish, trochee
So now when I seek a pub, trochee
It must end in lish, trochee
When the daylight comes I know, trochee
after hours of rest, trochee
I will have another go, trochee
doing what is best, trochee
Use my time to finish work, trochee
After this is done, trochee
then I know I get my perk, trochee
writing verse for fun, trochee
Tender tendrils climb the wall, trochee
Up towards the sky, trochee
Past the latticed windows tall, trochee
Clinging on from high, trochee
Then in springtime buds in red, trochee
Pout with lips apart, trochee
Inhibitions they all shed, trochee
And seduce my heart, trochee
Patience needed watch the scene, trochee
natures curtains pull, trochee
Terras headed straight between, trochee
Sol and Luna full, trochee
Luna fades on scheduled track, trochee
sudden redness brims, trochee
Luna looks at Terras black , trochee
glowing halo rim, trochee
Never trust poetic twists, trochee
making old words new, trochee
forms that merely test your wits, trochee
hold your breath till blue, trochee
Searching for the perfect rhymes, trochee
garnish for sparse plate, trochee
parsley sage and wilted thymes, trochee
vain attempt to sate, trochee
Easter comes but once a year, trochee
In the early spring, trochee
Lots of fresh eggs painted bright, trochee
For bunny to bring, trochee
Christ was laid upon the cross, trochee
For to bear our sins, trochee
Easter Sunday He will rise, trochee
Goodness always wins, trochee
Lovers chance a tango dance, trochee
passion lights the dark, trochee
Swaying bliss a stolen kiss, trochee
music ignites sparks, trochee
Romance swirls with handheld twirls, trochee
eyes gaze with desire, trochee
Red wine lips and tangos dips , trochee
set the floor on fire, trochee
Janus Roman gate god welcomes new year, trochee
Looking both directions backward forward, trochee
he doth see past time your futures quite clear, trochee
Whether times will be good mayhaps froward, trochee
guardsman know if you are brave or coward, trochee
Celebrate this new beginning make cheer, trochee
take year by the throat remember  no fear, trochee
His wife had died and how he wept, trochee
The world he knew had tumbled down , trochee
He recalled what she used to say, trochee
Enjoy this day for it will end, trochee
They lived as if each one would stop, trochee
and not another day shall rise, trochee
And happiness was theirs to hold, trochee
And now he lived to seize each day, trochee
A Carpe Diem he could share, trochee
In memory of his poignant loss, trochee
A celebration bitter sweet, trochee
We camped by Chachuma Lake near Solvang, trochee
Danish village we would visit real soon, trochee
Sitting close that night to fires warmth we sang, trochee
Sky was showing many lights with bright moon, trochee
Stores in quaint town sold gifts for this fine June, trochee
tourists needed only make requests clear, trochee
My girl wanted silver souvenir spoon, trochee
something she said shed would cherish most dear, trochee
I descended in the cavern, trochee
Through a passage I descended, trochee
Deep and deeper ever narrow, trochee
Ever further ever darker, trochee
As I sat and turned my light off, trochee
Not a glimmer not a flicker, trochee
Not a shine of distant lantern, trochee
Utter darkness black and starless, trochee
Not a sound of beast or human, trochee
Not the plink of dripping water, trochee
Nor the rustling of faint breezes , trochee
Utter silence mute and soundless, trochee
And I felt the cool hard limestone, trochee
Felt the rock beneath my body, trochee
Felt the wisdom and the secrets, trochee
In the ancient womb of Gaia, trochee
My loves spirits gentle like a breeze that, trochee
blows cool oer this my brow most hot feverish, trochee
I am made calm by her presence like at, trochee
times when discontent doth make one peevish, trochee
She is childrens mother never churlish, trochee
meeting needs with day to day devotion, trochee
Seen neer showing disposition surlish, trochee
lady having no bad fractious notion, trochee
She doth ease all banes with soothing lotion, trochee
wipes away hurts life delights in bringing, trochee
Problem solver lessens my full portion, trochee
Oh hark Listen stranger My hearts singing, trochee
Gentle spirit loving mother my pearl, trochee
These and more are seen in soul of my girl, trochee
Pretty eyes that show such deep affection, trochee
make the joy bells chime this day in my heart, trochee
Why should I now be her great selection, trochee
most think shes a wondrous piece of fine art, trochee
My head resonates bell loudly ringing, trochee
like to tintinnabulary paean, trochee
Eyes that make the chimes to peal with singing, trochee
say this male thinks hes a blessed peon, trochee
Lovely eyes that goad both feet to dancing, trochee
they dont mind the lookers gaze and smiles then, trochee
Toes now take this happy swain to prancing , trochee
I am high above the hoi pollois ken, trochee
Color me all lucky Joan is my gift, trochee
Life is great for me Bill hey what a lift, trochee
Can I love thee more  If love be less than , trochee
fate in lifes reprieve then no I could not , trochee
love thee more alas with Cupids dart shot, trochee
Yes I love in thee thy comely face and, trochee
yet my loves defined as only time can, trochee
grown in age as bold new found love cannot, trochee
Yes I love thee more with each cherished thought, trochee
Yes I love thee more in Gods precise plan, trochee
Yes I love thee more in lovers embrace, trochee
When in life the turbid winds divide us, trochee
I will love thee more in rapturous grace , trochee
I will keep this love safe in my aegis, trochee
and at end of day let death take my place, trochee
then with sweet voice sing a dirge for Eros, trochee
Bright last quarter soft cool moon, trochee
Bluegray sky sun rising soon, trochee
Pearllike gem in heavens row, trochee
Lead us to suns brilliant show, trochee
Morning light on soft feet creeps, trochee
Showing us such verdant keeps, trochee
Birds awake and sing their tune, trochee
Chirp chirp at the passing moon, trochee
Great owl sweeps a field for prey, trochee
Folks arise another day, trochee
Daylight grows hot coffee brews, trochee
Soon well read the morning news, trochee
Outside air is clean and warm, trochee
On each corner day shapes form, trochee
Sounds of joy and life all strong, trochee
signalling the waking throng, trochee
Fade fast now last quarter moon, trochee
Soon the sun will see you swoon, trochee
But at dusk another eve, trochee
There the cloak of night to weave, trochee
The flying sent projections free to see, trochee
from adjunct Astrals singing bold decree, trochee
Perched on Piscess cusp forsaking Platos cave, trochee
Puppets casting shadows chancing me a slave, trochee
They hang from dreams of higher forms allures, trochee
Contempt in self when loving carnal cores, trochee
Haunted by womens passions kept in Spirits, trochee
Dawns my sleeping stages now inherits, trochee
Marionettes aloft eternal twists, trochee
of spinning truths with lies recalling trysts, trochee
Killing prone volitions changing essence, trochee
Chosen starlights beings guiding presence, trochee
Upon a love in purest form demands, trochee
Forgotten suicides of ego strands, trochee
Risking Pirsigs fate in Zen and journey, trochee
Waging sanity a bounty worthy, trochee
The stringing of my soul and bracing seeks, trochee
A pulling truth beyond this death it speaks, trochee
With the end of days upon them, trochee
Nears the time of final battle, trochee
In the halls of high Valhalla, trochee
Asgard senses its death rattle, trochee
In the forest crows the rooster , trochee
In the sky the sun does darken, trochee
In the cave the hound is howling, trochee
To these signs the Aesir harken, trochee
Heimdall blows the Gjallarhorn, trochee
Dark the rainbow bridge is turning, trochee
Vivid lightning cleaves Yggdrasil, trochee
Then the central tree is burning, trochee
Aesir watch in fascination, trochee
See volcanoes spew like fountains, trochee
See the heavens splitting open, trochee
See the oceans climb the mountains, trochee
See the continents convulsing, trochee
See the forests burn to ashes, trochee
See the sons of Mim awaken, trochee
In the fatal lightning flashes, trochee
As the winds consume the wasteland, trochee
From the south Surtr advances, trochee
With his minions tearing corpses, trochee
Bright his sword and sharp his lances, trochee
Aesir then prepare their weapons, trochee
Eyes are clear and arms are steady, trochee
The Midgard serpent Jrmungandr, trochee
Upon the battle plain is ready, trochee
With his heavy hammer Mjolnir, trochee
Strides the mighty god of thunder, trochee
To do battle with the serpent, trochee
And to rend the world asunder, trochee
Fall descends as Summer leaves , trochee
Autumn cools a skewed romance , trochee
Here we find a heart that grieves , trochee
While the other lives to dance , trochee
Short the span of peak allure , trochee
Egos start to hum the blues , trochee
Mirrors follow and procure , trochee
Any truth you wish to view , trochee
If the other shoe be age, trochee
Let it drop accept the dread, trochee
Earplugs mute his musics rage, trochee
Yours in stacks beneath the bed , trochee
Flattery can quickly blind , trochee
When its served in large amounts , trochee
Dont leave common sense behind, trochee
With a dwindling bank account, trochee
Cunning were her noxious machinations, trochee
Choosing those who never stood a chance, trochee
Masterful projecting of temptations, trochee
Brilliant timing her alluring glance, trochee
Naive innocence alerted weakness, trochee
Perfect prey a rug beneath her feet, trochee
Wary of her charm he played to meekness, trochee
Vamps are blinded by their own conceit, trochee
Love projecting trust her highest rated, trochee
Self assured to win this rueful game, trochee
But his insight unappreciated, trochee
Destined to dethrone this queen of shame, trochee
Midnight luggage packed as she lay sleeping, trochee
Daybreak finding him no longer there, trochee
Not his absence roused her ardent weeping , trochee
Rather roles reversed and woe to bear, trochee
All her hidden plans new beau new city, trochee
Lost its joie de vivre without a chump, trochee
Debit card replaced by selfish pity, trochee
Catatonic stupor being dumped , trochee
She was fooled assured the man had fallen, trochee
Not a clue his quietly keeping score, trochee
Retribution silently came calling, trochee
As a sliding key beneath her door, trochee
Who is that big fat Santa man, trochee
Im not quite sure if Im a fan, trochee
He steals the cookies I leave out, trochee
He judges me to cry and pout, trochee
He watches me both night and day, trochee
Just like that mean old NSA, trochee
And does he even pay those elves, trochee
Who make the toys and sit on shelves, trochee
Hes not as jolly as he seems, trochee
The mall is filled with childrens screams, trochee
He pulls them up upon his lap, trochee
But they dont buy that Ho Ho crap, trochee
Why does he hide in the North Pole, trochee
Why does he give the naughty coal, trochee
 And does he give the poor kids toys, trochee
They need them most those girls and boys, trochee
Could he not give them food and bread, trochee
Cause he can give them mine instead, trochee
I fear for some he never came, trochee
Some kids have never heard his name, trochee
Why punish them for not believing, trochee
I simply cant find this relieving, trochee
If hes amazing like they say, trochee
Why doesnt he just make their day, trochee
Why does he not show bad kids love, trochee
Why not feed poor kids he hears of, trochee
Why not show them that he exists, trochee
Why not put them on his nice list, trochee
FROM fairest creatures we desire increase, iambic
That thereby beautys rose might never die, iambic
But as the riper should by time decease, iambic
His tender heir might bear his memory, iambic
But thou contracted to thine own bright eyes, iambic
Feedst thy lightst flame with selfsubstantial fuel, iambic
Making a famine where abundance lies, iambic
Thyself thy foe to thy sweet self too cruel, iambic
Thou that art now the worlds fresh ornament, iambic
And only herald to the gaudy spring, iambic
Within thine own bud buriest thy content, iambic
And tender churl makest waste in niggarding, iambic
Pity the world or else this glutton be, iambic
To eat the worlds due by the grave and thee, iambic
When forty winters shall beseige thy brow, iambic
And dig deep trenches in thy beautys field, iambic
Thy youths proud livery so gazed on now, iambic
Will be a tatterd weed of small worth held, iambic
Then being askd where all thy beauty lies, iambic
Where all the treasure of thy lusty days, iambic
To say within thine own deepsunken eyes, iambic
Were an alleating shame and thriftless praise, iambic
How much more praise deserved thy beautys use, iambic
If thou couldst answer This fair child of mine, iambic
Shall sum my count and make my old excuse, iambic
Proving his beauty by succession thine, iambic
This were to be new made when thou art old, iambic
And see thy blood warm when thou feelst it cold, iambic
Look in thy glass and tell the face thou viewest, iambic
Now is the time that face should form another, iambic
Whose fresh repair if now thou not renewest, iambic
Thou dost beguile the world unbless some mother, iambic
For where is she so fair whose uneard womb, iambic
Disdains the tillage of thy husbandry, iambic
Or who is he so fond will be the tomb, iambic
Of his selflove to stop posterity, iambic
Thou art thy mothers glass and she in thee, iambic
Calls back the lovely April of her prime, iambic
So thou through windows of thine age shall see, iambic
Despite of wrinkles this thy golden time, iambic
But if thou live rememberd not to be, iambic
Die single and thine image dies with thee, iambic
Unthrifty loveliness why dost thou spend, iambic
Upon thyself thy beautys legacy, iambic
Natures bequest gives nothing but doth lend, iambic
And being frank she lends to those are free, iambic
Then beauteous niggard why dost thou abuse, iambic
The bounteous largess given thee to give, iambic
Profitless usurer why dost thou use, iambic
So great a sum of sums yet canst not live, iambic
For having traffic with thyself alone, iambic
Thou of thyself thy sweet self dost deceive, iambic
Then how when nature calls thee to be gone, iambic
What acceptable audit canst thou leave, iambic
Thy unused beauty must be tombd with thee, iambic
Which used lives th executor to be, iambic
Those hours that with gentle work did frame, iambic
The lovely gaze where every eye doth dwell, iambic
Will play the tyrants to the very same, iambic
And that unfair which fairly doth excel, iambic
For neverresting time leads summer on, iambic
To hideous winter and confounds him there, iambic
Sap chequed with frost and lusty leaves quite gone, iambic
Beauty oersnowd and bareness every where, iambic
Then were not summers distillation left, iambic
A liquid prisoner pent in walls of glass, iambic
Beautys effect with beauty were bereft, iambic
Nor it nor no remembrance what it was, iambic
But flowers distilld though they with winter meet, iambic
Leese but their show their substance still lives sweet, iambic
Then let not winters ragged hand deface, iambic
In thee thy summer ere thou be distilld, iambic
Make sweet some vial treasure thou some place, iambic
With beautys treasure ere it be selfkilld, iambic
That use is not forbidden usury, iambic
Which happies those that pay the willing loan, iambic
Thats for thyself to breed another thee, iambic
Or ten times happier be it ten for one, iambic
Ten times thyself were happier than thou art, iambic
If ten of thine ten times refigured thee, iambic
Then what could death do if thou shouldst depart, iambic
Leaving thee living in posterity, iambic
Be not selfwilld for thou art much too fair, iambic
To be deaths conquest and make worms thine heir, iambic
Lo in the orient when the gracious light, iambic
Lifts up his burning head each under eye, iambic
Doth homage to his newappearing sight, iambic
Serving with looks his sacred majesty, iambic
And having climbd the steepup heavenly hill, iambic
Resembling strong youth in his middle age, iambic
yet mortal looks adore his beauty still, iambic
Attending on his golden pilgrimage, iambic
But when from highmost pitch with weary car, iambic
Like feeble age he reeleth from the day, iambic
The eyes fore duteous now converted are, iambic
From his low tract and look another way, iambic
So thou thyself outgoing in thy noon, iambic
Unlookd on diest unless thou get a son, iambic
Music to hear why hearst thou music sadly, iambic
Sweets with sweets war not joy delights in joy, iambic
Why lovest thou that which thou receivest not gladly, iambic
Or else receivest with pleasure thine annoy, iambic
If the true concord of welltuned sounds, iambic
By unions married do offend thine ear, iambic
They do but sweetly chide thee who confounds, iambic
In singleness the parts that thou shouldst bear, iambic
Mark how one string sweet husband to another, iambic
Strikes each in each by mutual ordering, iambic
Resembling sire and child and happy mother, iambic
Who all in one one pleasing note do sing, iambic
Whose speechless song being many seeming one, iambic
Sings this to thee thou single wilt prove none, iambic
Is it for fear to wet a widows eye, iambic
That thou consumest thyself in single life, iambic
Ah if thou issueless shalt hap to die, iambic
The world will wail thee like a makeless wife, iambic
The world will be thy widow and still weep, iambic
That thou no form of thee hast left behind, iambic
When every private widow well may keep, iambic
By childrens eyes her husbands shape in mind, iambic
Look what an unthrift in the world doth spend, iambic
Shifts but his place for still the world enjoys it, iambic
But beautys waste hath in the world an end, iambic
And kept unused the user so destroys it, iambic
No love toward others in that bosom sits, iambic
That on himself such murderous shame commits, iambic
For shame deny that thou bearst love to any, iambic
Who for thyself art so unprovident, iambic
Grant if thou wilt thou art beloved of many, iambic
But that thou none lovest is most evident, iambic
For thou art so possessd with murderous hate, iambic
That gainst thyself thou stickst not to conspire, iambic
Seeking that beauteous roof to ruinate, iambic
Which to repair should be thy chief desire, iambic
O change thy thought that I may change my mind, iambic
Shall hate be fairer lodged than gentle love, iambic
Be as thy presence is gracious and kind, iambic
Or to thyself at least kindhearted prove, iambic
Make thee another self for love of me, iambic
That beauty still may live in thine or thee, iambic
As fast as thou shalt wane so fast thou growest, iambic
In one of thine from that which thou departest, iambic
And that fresh blood which youngly thou bestowest, iambic
Thou mayst call thine when thou from youth convertest, iambic
Herein lives wisdom beauty and increase, iambic
Without this folly age and cold decay, iambic
If all were minded so the times should cease, iambic
And threescore year would make the world away, iambic
Let those whom Nature hath not made for store, iambic
Harsh featureless and rude barrenly perish, iambic
Look whom she best endowd she gave the more, iambic
Which bounteous gift thou shouldst in bounty cherish, iambic
She carved thee for her seal and meant thereby, iambic
Thou shouldst print more not let that copy die, iambic
When I do count the clock that tells the time, iambic
And see the brave day sunk in hideous night, iambic
When I behold the violet past prime, iambic
And sable curls all silverd oer with white, iambic
When lofty trees I see barren of leaves, iambic
Which erst from heat did canopy the herd, iambic
And summers green all girded up in sheaves, iambic
Borne on the bier with white and bristly beard, iambic
Then of thy beauty do I question make, iambic
That thou among the wastes of time must go, iambic
Since sweets and beauties do themselves forsake, iambic
And die as fast as they see others grow, iambic
And nothing gainst Times scythe can make defence, iambic
Save breed to brave him when he takes thee hence, iambic
O that you were yourself but love you are, iambic
No longer yours than you yourself here live, iambic
Against this coming end you should prepare, iambic
And your sweet semblance to some other give, iambic
So should that beauty which you hold in lease, iambic
Find no determination then you were, iambic
Yourself again after yourselfs decease, iambic
When your sweet issue your sweet form should bear, iambic
Who lets so fair a house fall to decay, iambic
Which husbandry in honour might uphold, iambic
Against the stormy gusts of winters day, iambic
And barren rage of deaths eternal cold, iambic
O none but unthrifts Dear my love you know, iambic
You had a father let your son say so, iambic
Not from the stars do I my judgment pluck, iambic
And yet methinks I have astronomy, iambic
But not to tell of good or evil luck, iambic
Of plagues of dearths or seasons quality, iambic
Nor can I fortune to brief minutes tell, iambic
Pointing to each his thunder rain and wind, iambic
Or say with princes if it shall go well, iambic
By oft predict that I in heaven find, iambic
But from thine eyes my knowledge I derive, iambic
And constant stars in them I read such art, iambic
As truth and beauty shall together thrive, iambic
If from thyself to store thou wouldst convert, iambic
Or else of thee this I prognosticate, iambic
Thy end is truths and beautys doom and date, iambic
When I consider every thing that grows, iambic
Holds in perfection but a little moment, iambic
That this huge stage presenteth nought but shows, iambic
Whereon the stars in secret influence comment, iambic
When I perceive that men as plants increase, iambic
