البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
غَيَّرَتهُ الريحُ تَسفي بِهِ وَهَزيمٌ رَعدُهُ واصِبُ,وَهَزيمٌ رَعدُهُ واصِبُ,غَيَّرَتهُ الريحُ تَسفي بِهِ,المديد,حسان بن ثابت
وَلَقَد كانَت تَكونُ بِهِ طَفلَةٌ مَمكورَةٌ كاعِبُ,طَفلَةٌ مَمكورَةٌ كاعِبُ,وَلَقَد كانَت تَكونُ بِهِ,المديد,حسان بن ثابت
وَكَّلَت قَلبي بِذِكرَتِها فَالهَوى لي فادِحٌ غالِبُ,فَالهَوى لي فادِحٌ غالِبُ,وَكَّلَت قَلبي بِذِكرَتِها,المديد,حسان بن ثابت
لَيسَ لي مِنها مُواسٍ وَلا بُدَّ مِمّا يَجلِبُ الجالِبُ,بُدَّ مِمّا يَجلِبُ الجالِبُ,لَيسَ لي مِنها مُواسٍ وَلا,المديد,حسان بن ثابت
وَكَأَنّي حينَ أَذكُرُها مِن حُمَيّا قَهوَةٍ شارِبُ,مِن حُمَيّا قَهوَةٍ شارِبُ,وَكَأَنّي حينَ أَذكُرُها,المديد,حسان بن ثابت
أَكَعَهدي هَضبُ ذي بَقَرٍ فَلِوى الأَعرافِ فَالضارِبُ,فَلِوى الأَعرافِ فَالضارِبُ,أَكَعَهدي هَضبُ ذي بَقَرٍ,المديد,حسان بن ثابت
فَلِوى الخُربَةِ إِذ أَهلُنا كُلَّ مُمسىً سامِرٌ لاعِبُ,كُلَّ مُمسىً سامِرٌ لاعِبُ,فَلِوى الخُربَةِ إِذ أَهلُنا,المديد,حسان بن ثابت
فَاِبكِ ما شِئتَ عَلى ما اِنقَضى كُلُّ وَصلٍ مُنقَضٍ ذاهِبُ,كُلُّ وَصلٍ مُنقَضٍ ذاهِبُ,فَاِبكِ ما شِئتَ عَلى ما اِنقَضى,المديد,حسان بن ثابت
لَو يَرُدُّ الدَمعُ شَيئاً لَقَد رَدَّ شَيئاً دَمعُكَ الساكِبُ,رَدَّ شَيئاً دَمعُكَ الساكِبُ,لَو يَرُدُّ الدَمعُ شَيئاً لَقَد,المديد,حسان بن ثابت
لَم تَكُن سُعدى لِتُنصَفُني قَلَّ ما يُنصِفُني الصاحِبُ,قَلَّ ما يُنصِفُني الصاحِبُ,لَم تَكُن سُعدى لِتُنصَفُني,المديد,حسان بن ثابت
كَأَخٍ لي لا أُعاتِبُهُ رُبَّما يُستَكثَرُ العاتِبُ,رُبَّما يُستَكثَرُ العاتِبُ,كَأَخٍ لي لا أُعاتِبُهُ,المديد,حسان بن ثابت
حَدَّثَ الشاهِدُ مِن قَولِهِ بِالَّذي يُخفي لَنا الغائِبُ,بِالَّذي يُخفي لَنا الغائِبُ,حَدَّثَ الشاهِدُ مِن قَولِهِ,المديد,حسان بن ثابت
وَبَدَت مِنهُ مُزَمَّلَةٌ حِلمُهُ في غَيِّها ذاهِبُ,حِلمُهُ في غَيِّها ذاهِبُ,وَبَدَت مِنهُ مُزَمَّلَةٌ,المديد,حسان بن ثابت
كنْ من الدنيا على وَجَلِ وتَوَقَّعْ بَغْتةَ الأَجَل,وتَوَقَّعْ بَغْتةَ الأَجَل,كنْ من الدنيا على وَجَلِ,المديد,ظافر الحداد
فعقول الناس لاهيَةٌ في الهوى والكسب والأمل,في الهوى والكسب والأمل,فعقول الناس لاهيَةٌ,المديد,ظافر الحداد
يَجْرع الإنسانُ لذتَها وهْي مثلُ السمِّ في العسل,وهْي مثلُ السمِّ في العسل,يَجْرع الإنسانُ لذتَها,المديد,ظافر الحداد
أنت من دنياك في شُغُلٍ والمَنايا فيك في شُغُل,والمَنايا فيك في شُغُل,أنت من دنياك في شُغُلٍ,المديد,ظافر الحداد
كلُّ ما فيها يزول فلا فرقَ بين الهم والجَذَل,فرقَ بين الهم والجَذَل,كلُّ ما فيها يزول فلا,المديد,ظافر الحداد
يا مريضاً لم يجد أَلما أنت لو تدرِي أبو العِلل,أنت لو تدرِي أبو العِلل,يا مريضاً لم يجد أَلما,المديد,ظافر الحداد
يا بصيرا ليس يُبِصر ما فيه من عيبٍ ومن زَلل,فيه من عيبٍ ومن زَلل,يا بصيرا ليس يُبِصر ما,المديد,ظافر الحداد
لو أَراك العقلُ أَيْسَرَه كدتَ أَنْ تفنى من الخجل,كدتَ أَنْ تفنى من الخجل,لو أَراك العقلُ أَيْسَرَه,المديد,ظافر الحداد
للهدى نورٌ يَدلُّ على آخرِ الأشياءِ بالأُوَل,آخرِ الأشياءِ بالأُوَل,للهدى نورٌ يَدلُّ على,المديد,ظافر الحداد
فابتدِرْ ما سوف تذكُره نادما ما دمتَ في مَهَل,نادما ما دمتَ في مَهَل,فابتدِرْ ما سوف تذكُره,المديد,ظافر الحداد
ليس يُجدِى القولُ منفعةً حين تُبديه بلا عمل,حين تُبديه بلا عمل,ليس يُجدِى القولُ منفعةً,المديد,ظافر الحداد
وإذا ما الفهمُ عازَك لم تنتفع بالوعظ والعَذَل,تنتفع بالوعظ والعَذَل,وإذا ما الفهمُ عازَك لم,المديد,ظافر الحداد
حينَ وَلّى الناسُ وَاِنخَذَلوا هَرَباً وَاِحمَرَّتِ الحَدَقُ,هَرَباً وَاِحمَرَّتِ الحَدَقُ,حينَ وَلّى الناسُ وَاِنخَذَلوا,المديد,أبو بكر الصديق
شَدَّ كَاللَّيثِ الهِزَبرِ وَقَد عَظُمَ الأَشجانُ وَالقَلَقُ,عَظُمَ الأَشجانُ وَالقَلَقُ,شَدَّ كَاللَّيثِ الهِزَبرِ وَقَد,المديد,أبو بكر الصديق
لَم يَخِب إِذ شَدَّ جَمعُهُم وَالقَنا إِذ ذاكَ تَأتَلِقُ,وَالقَنا إِذ ذاكَ تَأتَلِقُ,لَم يَخِب إِذ شَدَّ جَمعُهُم,المديد,أبو بكر الصديق
وَسُيوفٌ في أَكُفِّهِمُ كَحِمامِ المَوتِ تَصطَلِقُ,كَحِمامِ المَوتِ تَصطَلِقُ,وَسُيوفٌ في أَكُفِّهِمُ,المديد,أبو بكر الصديق
فَتَوَلّوا بَعدَ ما طَمِعوا وَبِغَيرِ اللَهِ ما اِنطَلَقوا,وَبِغَيرِ اللَهِ ما اِنطَلَقوا,فَتَوَلّوا بَعدَ ما طَمِعوا,المديد,أبو بكر الصديق
ما هَوىً إِلّا لَهُ سَبَبُ يَبتَدي مِنهُ وَيَنشَعِبُ,يَبتَدي مِنهُ وَيَنشَعِبُ,ما هَوىً إِلّا لَهُ سَبَبُ,المديد,ابو نواس
فَتَنَت قَلبي مُحَجَّبَةٌ وَجهُها بِالحُسنِ مُنتَقِبُ,وَجهُها بِالحُسنِ مُنتَقِبُ,فَتَنَت قَلبي مُحَجَّبَةٌ,المديد,ابو نواس
حَلِيَت وَالحُسنُ تَأخُذُهُ تَنتَقي مِنهُ وَتَنتَخِبُ,تَنتَقي مِنهُ وَتَنتَخِبُ,حَلِيَت وَالحُسنُ تَأخُذُهُ,المديد,ابو نواس
فَاِكتَسَت مِنهُ طَرائِفَهُ وَاِستَزادَت فَضلَ ما تَهِبُ,وَاِستَزادَت فَضلَ ما تَهِبُ,فَاِكتَسَت مِنهُ طَرائِفَهُ,المديد,ابو نواس
فَهيَ لَو صَيَّرَت فيهِ لَها عَودَةً لَم يَثنِها أَرَبُ,عَودَةً لَم يَثنِها أَرَبُ,فَهيَ لَو صَيَّرَت فيهِ لَها,المديد,ابو نواس
صارَ جِدّاً ما مَزَحتُ بِهِ رُبَّ جِدٍّ جَرَّهُ اللَعِبُ,رُبَّ جِدٍّ جَرَّهُ اللَعِبُ,صارَ جِدّاً ما مَزَحتُ بِهِ,المديد,ابو نواس
عَدِّ عَن رَسمٍ وَعَن كُثُبِ وَالهُ عَنهُ بِابنَةِ العِنَبِ,وَالهُ عَنهُ بِابنَةِ العِنَبِ,عَدِّ عَن رَسمٍ وَعَن كُثُبِ,المديد,ابو نواس
بِالَّتي إِن جِئتُ أَخطُبُها حُلِّيَت حَلياً مِنَ الذَهَبِ,حُلِّيَت حَلياً مِنَ الذَهَبِ,بِالَّتي إِن جِئتُ أَخطُبُها,المديد,ابو نواس
خُلِقَت لِلهَمِّ قاهِرَةً وَعَدُوَّ المالِ وَالنَشَبِ,وَعَدُوَّ المالِ وَالنَشَبِ,خُلِقَت لِلهَمِّ قاهِرَةً,المديد,ابو نواس
لَم يَذُقها قَطُّ راشِفُها فَخَلا مِن لاعِجِ الطَرَبِ,فَخَلا مِن لاعِجِ الطَرَبِ,لَم يَذُقها قَطُّ راشِفُها,المديد,ابو نواس
لا تَشِنها بِالَّتي كَرِهَت فَهيَ تَأبى دَعوَةَ النَسَبِ,فَهيَ تَأبى دَعوَةَ النَسَبِ,لا تَشِنها بِالَّتي كَرِهَت,المديد,ابو نواس
لي صديقٌ سيدٌ سندٌ بيننا الآداب مشتركه,بيننا الآداب مشتركه,لي صديقٌ سيدٌ سندٌ,المديد,ابن نباته المصري
كلما قابلت طلعته قيل لي يا سعدها بركه,قيل لي يا سعدها بركه,كلما قابلت طلعته,المديد,ابن نباته المصري
لذ لي في حبكم كلفي وبكم لي قد حلا تلفي,وبكم لي قد حلا تلفي,لذ لي في حبكم كلفي,المديد,ابن مليك الحموي
والذي ترضون من شغفي ذاك عندي غاية الشرف,ذاك عندي غاية الشرف,والذي ترضون من شغفي,المديد,ابن مليك الحموي
عاذلي مت حسرة واسى لم تنل مني سوى الاسف,لم تنل مني سوى الاسف,عاذلي مت حسرة واسى,المديد,ابن مليك الحموي
كيف اسلو عن محبتكم لا ولا الآيات والصحف,لا ولا الآيات والصحف,كيف اسلو عن محبتكم,المديد,ابن مليك الحموي
يالقومي من رشا غنج تائه بالعجب والصلف,تائه بالعجب والصلف,يالقومي من رشا غنج,المديد,ابن مليك الحموي
حسن الاوصاف ذي ترف حرت بين الحسن والترف,حرت بين الحسن والترف,حسن الاوصاف ذي ترف,المديد,ابن مليك الحموي
بدر تم قد كلفت به جل أوصافا عن الكلف,جل أوصافا عن الكلف,بدر تم قد كلفت به,المديد,ابن مليك الحموي
فهو ظبي غير ملتفت وهو غصن غير منعطف,وهو غصن غير منعطف,فهو ظبي غير ملتفت,المديد,ابن مليك الحموي
كيف قلبي عنه اصرفه وهواه غير منصرف,وهواه غير منصرف,كيف قلبي عنه اصرفه,المديد,ابن مليك الحموي
راح فيه راح معتدلا خلني من قول منحرف,خلني من قول منحرف,راح فيه راح معتدلا,المديد,ابن مليك الحموي
قده بالشعر معتنق كاعتناق اللام بالالف,كاعتناق اللام بالالف,قده بالشعر معتنق,المديد,ابن مليك الحموي
عنه غصن البان حدثنا خلف يرويه عن خلف,خلف يرويه عن خلف,عنه غصن البان حدثنا,المديد,ابن مليك الحموي
ان غصان النقا نقلت عنه حسن اللين والهيف,عنه حسن اللين والهيف,ان غصان النقا نقلت,المديد,ابن مليك الحموي
قَد أَتاني مِن صَديقٍ كَلامٌ كَلآلٍ زانَهُنَّ نِظامُ,كَلآلٍ زانَهُنَّ نِظامُ,قَد أَتاني مِن صَديقٍ كَلامٌ,المديد,الميكالي
فَسَرى في القَلبِ مِني سُرورٌ مُطرِبٌ يَعجِز عَنهُ المُدامُ,مُطرِبٌ يَعجِز عَنهُ المُدامُ,فَسَرى في القَلبِ مِني سُرورٌ,المديد,الميكالي
مِثلَ ما يَرتاحُ شَيخُ بَناتٍ حَولَهُ مِن جَمعِهنَّ زِحامُ,حَولَهُ مِن جَمعِهنَّ زِحامُ,مِثلَ ما يَرتاحُ شَيخُ بَناتٍ,المديد,الميكالي
فَدَعا اللَهَ طَويلاً يُرجّى خَلَفاً مِن نَسلِهِ لا يُذامُ,خَلَفاً مِن نَسلِهِ لا يُذامُ,فَدَعا اللَهَ طَويلاً يُرجّى,المديد,الميكالي
فَأَتاهُ بَعدَ يَأسٍ بَشيرٌ قالَ يا بُشراي هَذا غُلامُ,قالَ يا بُشراي هَذا غُلامُ,فَأَتاهُ بَعدَ يَأسٍ بَشيرٌ,المديد,الميكالي
دَعْ حَبِيبَ الْقَلْبِ يَا سَقَمُ فَبِنَفْسِي لا بِهِ الأَلَمُ,فَبِنَفْسِي لا بِهِ الأَلَمُ,دَعْ حَبِيبَ الْقَلْبِ يَا سَقَمُ,المديد,محمود سامى البارودى
كَيْفَ حَلَّ السُّقْمُ فِي بَدَنٍ خُلِقَتْ مِنْ حُسْنِهِ النِّعَمُ,خُلِقَتْ مِنْ حُسْنِهِ النِّعَمُ,كَيْفَ حَلَّ السُّقْمُ فِي بَدَنٍ,المديد,محمود سامى البارودى
يَا لَهَا مِنْ لَوْعَةٍ شَعَبَتْ رُكْنَ قَلْبِي وَهْوَ مُلْتَئِمُ,رُكْنَ قَلْبِي وَهْوَ مُلْتَئِمُ,يَا لَهَا مِنْ لَوْعَةٍ شَعَبَتْ,المديد,محمود سامى البارودى
مَنَعُونِي عَنْ زِيَارَتِهِ وَحِمَى قَلْبِي لَهُ حَرَمُ,وَحِمَى قَلْبِي لَهُ حَرَمُ,مَنَعُونِي عَنْ زِيَارَتِهِ,المديد,محمود سامى البارودى
حَكَمُوا أَنِّي بِهِ دَنِفٌ أَنَا رَاضٍ بِالَّذِي حَكَمُوا,أَنَا رَاضٍ بِالَّذِي حَكَمُوا,حَكَمُوا أَنِّي بِهِ دَنِفٌ,المديد,محمود سامى البارودى
أَوَّلُوا وَجْدِي بِهِ عَبَثاً لَيْتَهُمْ قَالُوا بِمَا عَلِمُوا,لَيْتَهُمْ قَالُوا بِمَا عَلِمُوا,أَوَّلُوا وَجْدِي بِهِ عَبَثاً,المديد,محمود سامى البارودى
أَتْهَمُونِي فِي مَوَدَّتِهِ وَالْهَوَى مِنْ شَأْنِهِ التُّهَمُ,وَالْهَوَى مِنْ شَأْنِهِ التُّهَمُ,أَتْهَمُونِي فِي مَوَدَّتِهِ,المديد,محمود سامى البارودى
رَبِّ قَنِّعْهُمْ بِفِرْيَتِهِمْ وَانْتَصِفْ مِنْهُمْ بِمَا زَعَمُوا,وَانْتَصِفْ مِنْهُمْ بِمَا زَعَمُوا,رَبِّ قَنِّعْهُمْ بِفِرْيَتِهِمْ,المديد,محمود سامى البارودى
وَاشْفِ نَفْسَاً أَنْتَ بَارِئُهَا فَإِلَيْكَ الْبُرْءُ وَالسَّقَمُ,فَإِلَيْكَ الْبُرْءُ وَالسَّقَمُ,وَاشْفِ نَفْسَاً أَنْتَ بَارِئُهَا,المديد,محمود سامى البارودى
مَن لصبٍّ فوق فَرشِ ضَنىً أبداً فَبُرؤه يَنتكس,أبداً فَبُرؤه يَنتكس,مَن لصبٍّ فوق فَرشِ ضَنىً,المديد,ابن دهن الحصي
جَفنُه بالدَمع مُنطَلقٌ وكَراه عنهُ مُحتَبس,وكَراه عنهُ مُحتَبس,جَفنُه بالدَمع مُنطَلقٌ,المديد,ابن دهن الحصي
جَهل العُذّالُ مَوضِعَه فهداهُم نَحوه النَفَس,فهداهُم نَحوه النَفَس,جَهل العُذّالُ مَوضِعَه,المديد,ابن دهن الحصي
يا صَدىً بِالثَغرِ جاوَرَهُ رِمَمٌ بورِكَت مِن رِمَمِ,رِمَمٌ بورِكَت مِن رِمَمِ,يا صَدىً بِالثَغرِ جاوَرَهُ,المديد,ابن خفاجه
صبَّحَتكَ الخَيلُ غادِيَةً فَأَثارَتكَ فَلَم تَرِمِ,فَأَثارَتكَ فَلَم تَرِمِ,صبَّحَتكَ الخَيلُ غادِيَةً,المديد,ابن خفاجه
يا صَدىً بِالثَغرِ مُرتَهَناً بِمَمَرِّ الريحِ وَالدِيَمِ,بِمَمَرِّ الريحِ وَالدِيَمِ,يا صَدىً بِالثَغرِ مُرتَهَناً,المديد,ابن خفاجه
لا أَرى إِلّا أَخا كَرَمٍ باكِياً مِنهُ أَخا كَرَمِ,باكِياً مِنهُ أَخا كَرَمِ,لا أَرى إِلّا أَخا كَرَمٍ,المديد,ابن خفاجه
كَم بِصَدرِيَ فيكَ مِن حُرَقٍ وَبِكَفِّيَ مِنكَ مِن نِعَمِ,وَبِكَفِّيَ مِنكَ مِن نِعَمِ,كَم بِصَدرِيَ فيكَ مِن حُرَقٍ,المديد,ابن خفاجه
لا لَعَمرِ المَجدِ وَالكَرَمِ وَمَزارِ البَيتِ وَالحَرَمِ,وَمَزارِ البَيتِ وَالحَرَمِ,لا لَعَمرِ المَجدِ وَالكَرَمِ,المديد,ابن خفاجه
لاسَلَوتُ الدَهرَ عَن مَلِكٍ طَلِقِ وَجهِ العُرفِ وَالشِيَمِ,طَلِقِ وَجهِ العُرفِ وَالشِيَمِ,لاسَلَوتُ الدَهرَ عَن مَلِكٍ,المديد,ابن خفاجه
هَذِهِ نُعماهُ مِلءُ يَدي وَثَنا رُحماهُ مِلءُ فَمي,وَثَنا رُحماهُ مِلءُ فَمي,هَذِهِ نُعماهُ مِلءُ يَدي,المديد,ابن خفاجه
وَكانَتِ النَفسُ قَد ماتَت بِغُصَّتِها فَعِندَ ذَلِكَ عادَت روحُها فيها,فَعِندَ ذَلِكَ عادَت روحُها فيها,وَكانَتِ النَفسُ قَد ماتَت بِغُصَّتِها,المديد,القاضي الفاضل
ذو المَعَالِي البَاهِرَاتِ عَلِي نَيّرٌ يَسمُو عَلَى زُحَلِ,نَيّرٌ يَسمُو عَلَى زُحَلِ,ذو المَعَالِي البَاهِرَاتِ عَلِي,المديد,ابن معتوق
مَوردٌ أَشهَى مِنَ العَسَلِ صُبح لَيلِ الحادِثِ الجَلَلِ,صُبح لَيلِ الحادِثِ الجَلَلِ,مَوردٌ أَشهَى مِنَ العَسَلِ,المديد,ابن معتوق
ضَارِبُ الهَامَاتِ وَالقُلَلِ زِينَةُ الأَجيَادِ والدُّوَلِ,زِينَةُ الأَجيَادِ والدُّوَلِ,ضَارِبُ الهَامَاتِ وَالقُلَلِ,المديد,ابن معتوق
أَجلٌ فِي صُورَةِ الرَّجُلِ مَنبَعُ الآلاءِ والخَوَلِ,مَنبَعُ الآلاءِ والخَوَلِ,أَجلٌ فِي صُورَةِ الرَّجُلِ,المديد,ابن معتوق
مَورِدِ العَسَّالَةِ الذُّبُلِ نَجلُ خَيرِ الخَلقِ والرُّسُلِ,نَجلُ خَيرِ الخَلقِ والرُّسُلِ,مَورِدِ العَسَّالَةِ الذُّبُلِ,المديد,ابن معتوق
عَلَوِيٌّ طَاهِرُ الخُلَلِ كَهفُ أَمنِ الخَائِفِ الوَجِلِ,كَهفُ أَمنِ الخَائِفِ الوَجِلِ,عَلَوِيٌّ طَاهِرُ الخُلَلِ,المديد,ابن معتوق
لا يُضيعُ اللَهُ مِن عَمَلِ وَلَكَ السَرّا فَقُل وَطُلِ,وَلَكَ السَرّا فَقُل وَطُلِ,لا يُضيعُ اللَهُ مِن عَمَلِ,المديد,القاضي الفاضل
في سَبيلِ اللَهِ مَوقِفُ مَن قَد هَداهُ أَرشَدَ السُبُلِ,قَد هَداهُ أَرشَدَ السُبُلِ,في سَبيلِ اللَهِ مَوقِفُ مَن,المديد,القاضي الفاضل
كُلُّ ما نِلتُم وَنيلَ بِكُم فَبِحَولِ اللَهِ لا الحِيَلِ,فَبِحَولِ اللَهِ لا الحِيَلِ,كُلُّ ما نِلتُم وَنيلَ بِكُم,المديد,القاضي الفاضل
تَفتَدي الشُجعانُ نَقعَكُمُ يَومَ فَرّوا مِنهُ بِالمُقَلِ,يَومَ فَرّوا مِنهُ بِالمُقَلِ,تَفتَدي الشُجعانُ نَقعَكُمُ,المديد,القاضي الفاضل
مَوقِفٌ مُرُّ المَذاقِ فَإِن حَدَّثوا عَنهُ فَكَالعَسَلِ,حَدَّثوا عَنهُ فَكَالعَسَلِ,مَوقِفٌ مُرُّ المَذاقِ فَإِن,المديد,القاضي الفاضل
وَالعُلا تُرقى وَكَيفَ بِها وَمَراقيها مِنَ الأَسَلِ,وَمَراقيها مِنَ الأَسَلِ,وَالعُلا تُرقى وَكَيفَ بِها,المديد,القاضي الفاضل
تَنطَحُ الشُجعانُ حَملَتَهُ كَنِطاحِ السَيلِ لِلجَبَلِ,كَنِطاحِ السَيلِ لِلجَبَلِ,تَنطَحُ الشُجعانُ حَملَتَهُ,المديد,القاضي الفاضل
قُل لِمَخدوعٍ بِجُملَتِهِ أَينَ مثلُ الشَمسِ في الحَمَلِ,أَينَ مثلُ الشَمسِ في الحَمَلِ,قُل لِمَخدوعٍ بِجُملَتِهِ,المديد,القاضي الفاضل
كَم سَعا دَرعاً كَمُنسَجِمٍ قَصَّ مِن سَيفٍ بِمُشتَعَلِ,قَصَّ مِن سَيفٍ بِمُشتَعَلِ,كَم سَعا دَرعاً كَمُنسَجِمٍ,المديد,القاضي الفاضل
وَخِصالٍ قَطُّ ما حُمِلَت لا عَلى جُبنٍ وَلا بُخُلِ,لا عَلى جُبنٍ وَلا بُخُلِ,وَخِصالٍ قَطُّ ما حُمِلَت,المديد,القاضي الفاضل
فَتَرى الأَيّامَ ما حُمِلَت لا عَى فَقرٍ وَلا وَجَلِ,لا عَى فَقرٍ وَلا وَجَلِ,فَتَرى الأَيّامَ ما حُمِلَت,المديد,القاضي الفاضل
حييت يا مربع الأحباب بالسفح من وادي السدر,بالسفح من وادي السدر,حييت يا مربع الأحباب,المديد,ابن علوي الحداد
والراك والنخل والأعشاب والضرع والزرع والثمر,والضرع والزرع والثمر,والراك والنخل والأعشاب,المديد,ابن علوي الحداد
والغيد والخرد الأتراب قواصر الطرف في الخدر,قواصر الطرف في الخدر,والغيد والخرد الأتراب,المديد,ابن علوي الحداد
والسادة القادة الأنجاب مرفوعي القدر والذكر,مرفوعي القدر والذكر,والسادة القادة الأنجاب,المديد,ابن علوي الحداد
يا وادي الروح والرحمة والنور والخير والإلطاف,والنور والخير والإلطاف,يا وادي الروح والرحمة,المديد,ابن علوي الحداد
والخطب واليسر والنعمة مستوطن السادة الإشراف,مستوطن السادة الإشراف,والخطب واليسر والنعمة,المديد,ابن علوي الحداد
أهل المروات والهمة والجود والفضل والأنصاف,والجود والفضل والأنصاف,أهل المروات والهمة,المديد,ابن علوي الحداد
سقاك يا وادي الوهاب بكل مغدوق غمر,بكل مغدوق غمر,سقاك يا وادي الوهاب,المديد,ابن علوي الحداد
وادي ابن راشد مني قلبي وراحة الروح والخاطر,وراحة الروح والخاطر,وادي ابن راشد مني قلبي,المديد,ابن علوي الحداد
لا زال مظلولاً السحب مطلولاً من صيب الماطر,مطلولاً من صيب الماطر,لا زال مظلولاً السحب,المديد,ابن علوي الحداد
مخضراً بالزرع والعشب يروق للنفس والناظر,يروق للنفس والناظر,مخضراً بالزرع والعشب,المديد,ابن علوي الحداد
معموراً بالعلم والآداب والعدل والبر والشكر,والعدل والبر والشكر,معموراً بالعلم والآداب,المديد,ابن علوي الحداد
قد كنت يا وادي الأنهار مشحوناً بالخير والأخيار,مشحوناً بالخير والأخيار,قد كنت يا وادي الأنهار,المديد,ابن علوي الحداد
خال عن الشوس والأكدار ما تحوي الشر والأشرار,ما تحوي الشر والأشرار,خال عن الشوس والأكدار,المديد,ابن علوي الحداد
حتى دهانا زمان العار بخلف سوء من الأغمار,بخلف سوء من الأغمار,حتى دهانا زمان العار,المديد,ابن علوي الحداد
من كل مفتون بالأسباب خال عن الحق والصبر,خال عن الحق والصبر,من كل مفتون بالأسباب,المديد,ابن علوي الحداد
هم شَوَّشوا عيش وادينا بالظلم والبغي والعدوان,بالظلم والبغي والعدوان,هم شَوَّشوا عيش وادينا,المديد,ابن علوي الحداد
وكدروا صفو نادينا بالحرص والشح والطغيان,بالحرص والشح والطغيان,وكدروا صفو نادينا,المديد,ابن علوي الحداد
يا سيد الرسل هادينا هيا بغارة إلينا الآن,هيا بغارة إلينا الآن,يا سيد الرسل هادينا,المديد,ابن علوي الحداد
يا همة السادة الأقطاب معادن الصدق والسر,معادن الصدق والسر,يا همة السادة الأقطاب,المديد,ابن علوي الحداد
نادي المهاجر صفي اللَه ذاك ابن عيسى أبا السادات,ذاك ابن عيسى أبا السادات,نادي المهاجر صفي اللَه,المديد,ابن علوي الحداد
ثم المقدم ولي اللَه غوث الورى قدوة القادات,غوث الورى قدوة القادات,ثم المقدم ولي اللَه,المديد,ابن علوي الحداد
ثم الوجيه لدين اللَه سقافنا خارق العادات,سقافنا خارق العادات,ثم الوجيه لدين اللَه,المديد,ابن علوي الحداد
السيد الكامل الأواب العيدروس مظهر القطر,العيدروس مظهر القطر,السيد الكامل الأواب,المديد,ابن علوي الحداد
قوموا بنا واكشفوا عنا يا سادتي هذه الأسوى,يا سادتي هذه الأسوى,قوموا بنا واكشفوا عنا,المديد,ابن علوي الحداد
واحموا مدينتكم الغنا من جملة الشر والبلوى,من جملة الشر والبلوى,واحموا مدينتكم الغنا,المديد,ابن علوي الحداد
يا أهل الحسب والنسب الأسي والعلم والحلم والتقوى,والعلم والحلم والتقوى,يا أهل الحسب والنسب الأسي,المديد,ابن علوي الحداد
بجدكم وبكم مجاب سحب البليات والضر,سحب البليات والضر,بجدكم وبكم مجاب,المديد,ابن علوي الحداد
نقطعُ الأوقاتَ بالكُلَفِ وقُصارانا إلى التَّلَفِ,وقُصارانا إلى التَّلَفِ,نقطعُ الأوقاتَ بالكُلَفِ,المديد,ظافر الحداد
أملٌ تَرْقَي مطامعُه لا إلى حَدٍّ ولا طَرَفِ,لا إلى حَدٍّ ولا طَرَفِ,أملٌ تَرْقَي مطامعُه,المديد,ظافر الحداد
يُعْجِب الإنسانَ مَكْسبُه وهْو بابُ الهمِّ والأَسف,وهْو بابُ الهمِّ والأَسف,يُعْجِب الإنسانَ مَكْسبُه,المديد,ظافر الحداد
فهْو دَينٌ للزمان فلا يفرح المغرورُ بالسَّلَف,يفرح المغرورُ بالسَّلَف,فهْو دَينٌ للزمان فلا,المديد,ظافر الحداد
أَتُرَى الجَزّارَ عن كرمٍ جُودُه للشاةِ بالعَلَف,جُودُه للشاةِ بالعَلَف,أَتُرَى الجَزّارَ عن كرمٍ,المديد,ظافر الحداد
سِمَنُ المهزولِ مَهْلَكةٌ يُقْنِع المعجوفَ بالعَجَف,يُقْنِع المعجوفَ بالعَجَف,سِمَنُ المهزولِ مَهْلَكةٌ,المديد,ظافر الحداد
ليس دين اللَه بالحبل فانتبه يا راقد المقل,فانتبه يا راقد المقل,ليس دين اللَه بالحبل,المديد,ابن علوي الحداد
يا جهول القلب فارغه أنت بعد اليوم في شغل,أنت بعد اليوم في شغل,يا جهول القلب فارغه,المديد,ابن علوي الحداد
عشت في شك وفي ريب غارقاً في لجة الأمل,غارقاً في لجة الأمل,عشت في شك وفي ريب,المديد,ابن علوي الحداد
لست تدري بالممات ولا بالذي يفجا من الأجل,بالذي يفجا من الأجل,لست تدري بالممات ولا,المديد,ابن علوي الحداد
والذي بعده الممات من ال هول والأفزاع والوجل,هول والأفزاع والوجل,والذي بعده الممات من ال,المديد,ابن علوي الحداد
ضمه القبر وفتنته ظلم تغشاك كالظلل,ظلم تغشاك كالظلل,ضمه القبر وفتنته,المديد,ابن علوي الحداد
ونكير القبر منكره بهما زيغ الذي دخل,بهما زيغ الذي دخل,ونكير القبر منكره,المديد,ابن علوي الحداد
ووإذا ما المرء يسأل عن علمه والقول والعمل,علمه والقول والعمل,ووإذا ما المرء يسأل عن,المديد,ابن علوي الحداد
يوم بعث الخلق محشرهم للإله الحق خير ولي,للإله الحق خير ولي,يوم بعث الخلق محشرهم,المديد,ابن علوي الحداد
فيجازيهم بما عملوا من خفى بطال وجلي,من خفى بطال وجلي,فيجازيهم بما عملوا,المديد,ابن علوي الحداد
فجزاء الظالم الخطل الغوي الغرور بالمهل,الغوي الغرور بالمهل,فجزاء الظالم الخطل,المديد,ابن علوي الحداد
ليس إلا النار يسكنها في عذاب غير متقل,في عذاب غير متقل,ليس إلا النار يسكنها,المديد,ابن علوي الحداد
