الشاعر,البحر,الشطر الأيمن,الشطر الأيسر,البيت
ابن مالك,الرجز,وإن تلا المعطوف فعلا ً مخبرا ,  به عن اسم ٍ فاعطفن مخيّرا ً,وإن تلا المعطوف فعلا ً مخبرا به عن اسم ٍ فاعطفن مخيّرا ً
ابن مالك,الرجز,والرّفع في غير الذي مرّ رجح ,  فما أبيح افعل ودع ما لم يبح,والرّفع في غير الذي مرّ رجح فما أبيح افعل ودع ما لم يبح
ابن مالك,الرجز,وفصل مشغول ٍ  بحرف جرّ ,  أو بإضافة ٍ كوصل ٍ يجري,وفصل مشغول ٍ بحرف جرّ أو بإضافة ٍ كوصل ٍ يجري
ابن مالك,الرجز,وسوّ في ذا الباب وصفا ً ذا عمل ,  بالفعل إن لم يك مانعّ حصل,وسوّ في ذا الباب وصفا ً ذا عمل بالفعل إن لم يك مانعّ حصل
ابن مالك,الرجز,وعلقهّ  حاصلةّ بتابع ,  كعلقةٍ بنفس الإسم الواقع,وعلقهّ حاصلةّ بتابع كعلقةٍ بنفس الإسم الواقع
ابن مالك,الرجز,علامة الفعل المعدّى أن تصل ,  هما غير مصدر ٍ به نحو عمل,علامة الفعل المعدّى أن تصل هما غير مصدر ٍ به نحو عمل
ابن مالك,الرجز,فانصب به مفعوله إن لم ينب ,  عن فاعل ٍ نحو تدبّرت الكتب,فانصب به مفعوله إن لم ينب عن فاعل ٍ نحو تدبّرت الكتب
ابن مالك,الرجز,ولازمّ غير المعدّى وحتم ,  لزوم أفعال السجايا كنهم,ولازمّ غير المعدّى وحتم لزوم أفعال السجايا كنهم
ابن مالك,الرجز,كذا افعللّ والمضاهي اقعنسا ,   وما اقتضى نظافة ً أو دنسا,كذا افعللّ والمضاهي اقعنسا  وما اقتضى نظافة ً أو دنسا
ابن مالك,الرجز,أو عرضا ً أو طاوع المعدّى ,  لواحد ٍ كمدّه فامتدّا,أو عرضا ً أو طاوع المعدّى لواحد ٍ كمدّه فامتدّا
ابن مالك,الرجز,وعدّ لازما ً بحرف جرّ ,  وإن حذف فالنّصب للمنجرّ,وعدّ لازما ً بحرف جرّ وإن حذف فالنّصب للمنجرّ
ابن مالك,الرجز,نقلا ً وفي أنّ وأن يطّرد ,  مع أمن لبس ٍ كعجبت أن يدوا,نقلا ً وفي أنّ وأن يطّرد مع أمن لبس ٍ كعجبت أن يدوا
ابن مالك,الرجز,والأصل سبق فاعل ٍ معنىً كمن ,  من ألبسن من زاركم نسج اليمن,والأصل سبق فاعل ٍ معنىً كمن من ألبسن من زاركم نسج اليمن
ابن مالك,الرجز,ويلزم الأصل لموجب ٍ عرا ,  وترك ذاك الأصل حتما قد يرى,ويلزم الأصل لموجب ٍ عرا وترك ذاك الأصل حتما قد يرى
ابن مالك,الرجز,وحذف فضلة ٍ أجز إن لم يضرّ ,  كحذف ما سيق جوابا ً  أو حصر,وحذف فضلة ٍ أجز إن لم يضرّ كحذف ما سيق جوابا ً أو حصر
ابن مالك,الرجز,ويحذف النّاصبها إن علما ,  وقد يكون حذفه ملتزما,ويحذف النّاصبها إن علما وقد يكون حذفه ملتزما
ابن مالك,الرجز,إن عاملان اقتضيا في اسم ٍ عمل ,  قبل فللواحد منهما العمل,إن عاملان اقتضيا في اسم ٍ عمل قبل فللواحد منهما العمل
ابن مالك,الرجز,والثاني أولى عند أهل البصره ,  واختار عكسا ً غيرهم ذا أسره,والثاني أولى عند أهل البصره واختار عكسا ً غيرهم ذا أسره
ابن مالك,الرجز,وأعمل المهمل في ضمير ما ,  تنازعاه والتزم ما التزما,وأعمل المهمل في ضمير ما تنازعاه والتزم ما التزما
ابن مالك,الرجز,كيحسنان ويسيء ابناكا ,  وقد بغى واعتديا عبداكا,كيحسنان ويسيء ابناكا وقد بغى واعتديا عبداكا
ابن مالك,الرجز,ولا تجيء مع أوّل  ٍ قد أهملا ,  بمضمر ٍ لغير رفع أو هلا,ولا تجيء مع أوّل ٍ قد أهملا بمضمر ٍ لغير رفع أو هلا
ابن مالك,الرجز,بل حذفه الزم إن يكن غير خبر ,  وأخّرته إن يكن هو الخبر,بل حذفه الزم إن يكن غير خبر وأخّرته إن يكن هو الخبر
ابن مالك,الرجز,وأظهر ان يكن ضمير ّ خبرا ,  لغير ما يطابق المفسّرا,وأظهر ان يكن ضمير ّ خبرا لغير ما يطابق المفسّرا
ابن مالك,الرجز,نحو أظنّ ويظنّاني أخا ,  زيدا ً وعمرا ً أخوين في الرّخا,نحو أظنّ ويظنّاني أخا زيدا ً وعمرا ً أخوين في الرّخا
ابن مالك,الرجز,المصدر اسم ما سوى الزمّان من ,  مدلولي الفعل كأمن ٍ من أمن,المصدر اسم ما سوى الزمّان من مدلولي الفعل كأمن ٍ من أمن
ابن مالك,الرجز,بمثله أو فعل ٍ أو وصف ٍ نصب ,  وكونه أصلا ً لهذين انتخب,بمثله أو فعل ٍ أو وصف ٍ نصب وكونه أصلا ً لهذين انتخب
ابن مالك,الرجز,توكيدا ً او نوعا ً  يبين أو عدد ,  كسرت سيرتين سير ذي رشد,توكيدا ً او نوعا ً يبين أو عدد كسرت سيرتين سير ذي رشد
ابن مالك,الرجز,وقد ينوب عنه ما عليه دلّ ,  كجدّ كلّ الجدّ وافرح الجذل,وقد ينوب عنه ما عليه دلّ كجدّ كلّ الجدّ وافرح الجذل
ابن مالك,الرجز,وما لتوكيدٍ فوحّد ابدا ,  وثنّ واجمع غيره وأفردا,وما لتوكيدٍ فوحّد ابدا وثنّ واجمع غيره وأفردا
ابن مالك,الرجز,وحذف عامل المؤكّد امتنع ,  وفي سواه لديل ٍ متّسع,وحذف عامل المؤكّد امتنع وفي سواه لديل ٍ متّسع
ابن مالك,الرجز,والحذف حتمّ مع آت بدلا ,  من فعله كندلا ً اللذ كاندلا,والحذف حتمّ مع آت بدلا من فعله كندلا ً اللذ كاندلا
ابن مالك,الرجز,وما لتفصيل ٍ كإمّا منّا ,  عامله يحذف حيث عنّا,وما لتفصيل ٍ كإمّا منّا عامله يحذف حيث عنّا
ابن مالك,الرجز,كذا مكرّرّ  وذز حصر ٍ ورد ,  نائب فعل ٍ لاسم عين ٍ استند,كذا مكرّرّ وذز حصر ٍ ورد نائب فعل ٍ لاسم عين ٍ استند
ابن مالك,الرجز,ومنه ما يدعونه مؤكّدا ,  لنفسه أو غيره فالمبتدا,ومنه ما يدعونه مؤكّدا لنفسه أو غيره فالمبتدا
ابن مالك,الرجز,نحو له علىّ ألف عرفا ,  والثان كابني أنت حقا صرفا,نحو له علىّ ألف عرفا والثان كابني أنت حقا صرفا
ابن مالك,الرجز,كذاك ذو التشبيه بعد جمله ,  كلي بكا ً  بكاء ذات عضله,كذاك ذو التشبيه بعد جمله كلي بكا ً بكاء ذات عضله
ابن مالك,الرجز,ينصب مفعولا ً له المصدر إن ,  أبان تعليلا ً كحد شكرا ً ودن,ينصب مفعولا ً له المصدر إن أبان تعليلا ً كحد شكرا ً ودن
ابن مالك,الرجز,وهو بما يعمل فيه متّخذ ,  وقتا ً وفاعلا ً وإن شرط ّ فقد,وهو بما يعمل فيه متّخذ وقتا ً وفاعلا ً وإن شرط ّ فقد
ابن مالك,الرجز,فاجرره بـ الحرف وليس يمتنع ,  مع الشروط كلزهد ٍ ذا قنع,فاجرره بـ الحرف وليس يمتنع مع الشروط كلزهد ٍ ذا قنع
ابن مالك,الرجز,وقلّ أن يصحبها المجرّد ,  والعكس في مصحوب ال وأنشدوا,وقلّ أن يصحبها المجرّد والعكس في مصحوب ال وأنشدوا
ابن مالك,الرجز,لا أقعد الجبن عن الهيجاء ,  ولو توالت زمر الأعداء,لا أقعد الجبن عن الهيجاء ولو توالت زمر الأعداء
ابن مالك,الرجز,الظرف وقت ّ أو مكان ضمّنا ,  في باطّراد ٍ كهنا امكث أزمنا,الظرف وقت ّ أو مكان ضمّنا في باطّراد ٍ كهنا امكث أزمنا
ابن مالك,الرجز,فانصبه بـ الواقع فيه مظهرا ,  كان وإلا فانوه مقدّرا,فانصبه بـ الواقع فيه مظهرا كان وإلا فانوه مقدّرا
ابن مالك,الرجز,وكلّ وقت ٍ قابل ّ  ذاك وما ,  يقبله المكان إلا مبهما,وكلّ وقت ٍ قابل ّ ذاك وما يقبله المكان إلا مبهما
ابن مالك,الرجز,نحو الجهات والمقادير وما ,  صيغ من الفعل كمرمى من رمى,نحو الجهات والمقادير وما صيغ من الفعل كمرمى من رمى
ابن مالك,الرجز,وشرط كون ذا مقيسا ً أن يقع ,  ظرفا ً لما في أصله معه اجتمع,وشرط كون ذا مقيسا ً أن يقع ظرفا ً لما في أصله معه اجتمع
ابن مالك,الرجز,وما يرى ظرفا وغير ظرف ,  فذاك ذو تصرّف ٍ في العرف,وما يرى ظرفا وغير ظرف فذاك ذو تصرّف ٍ في العرف
ابن مالك,الرجز,وغير ذي التصرّف الذي لزم ,  ظرفيّة أو شبهها من الكلم,وغير ذي التصرّف الذي لزم ظرفيّة أو شبهها من الكلم
ابن مالك,الرجز,وقد ينوب عن مكان ٍ مصدر ,  وذاك في ظرف الزمان يكثر,وقد ينوب عن مكان ٍ مصدر وذاك في ظرف الزمان يكثر
ابن مالك,الرجز,ينصب تالي الواو مفعولا معه ,  في نحو سيري والطريق مسرعه,ينصب تالي الواو مفعولا معه في نحو سيري والطريق مسرعه
ابن مالك,الرجز,بما من الفعل وشبهه سبق ذا ,  النّصب لا بالواو في القول الأحق,بما من الفعل وشبهه سبق ذا النّصب لا بالواو في القول الأحق
ابن مالك,الرجز,وبعد ما استفهام ٍ او كيف نصب ,  بفعل كون ٍ مضمر ٍ بعض العرب,وبعد ما استفهام ٍ او كيف نصب بفعل كون ٍ مضمر ٍ بعض العرب
ابن مالك,الرجز,والعطف إن يمكن بلا ضعف ٍ أحق ,  والنّصب مختار ّ لدى ضعف النّسق,والعطف إن يمكن بلا ضعف ٍ أحق والنّصب مختار ّ لدى ضعف النّسق
ابن مالك,الرجز,والنّصب إن لم يجز العطف يحب ,  أو أعتقد إضمار عامل ٍ تصب,والنّصب إن لم يجز العطف يحب أو أعتقد إضمار عامل ٍ تصب
ابن مالك,الرجز,ما استثنيت إلا مع تمام ٍ بنتصب ,  وبعد نفي أو كنفي أنتخب,ما استثنيت إلا مع تمام ٍ بنتصب وبعد نفي أو كنفي أنتخب
ابن مالك,الرجز,إتباع ما اتصل وانصب ما انقطع ,  وعن تميم فيه إبدالّ وقع,إتباع ما اتصل وانصب ما انقطع وعن تميم فيه إبدالّ وقع
ابن مالك,الرجز,وغير نصب سابق ٍ إلا لما ,  بعد يكن كما لو غلا عدما,وغير نصب سابق ٍ إلا لما بعد يكن كما لو غلا عدما
ابن مالك,الرجز,وألف إلا ذات توكيدٍ كلا , تمرر بهم إلا الفتى إلا العلا,وألف إلا ذات توكيدٍ كلا تمرر بهم إلا الفتى إلا العلا
ابن مالك,الرجز,وإن تكرّر لا لتوكيدٍ فمع ,  تفريغ ٍ التأثير بالعامل دع,وإن تكرّر لا لتوكيدٍ فمع تفريغ ٍ التأثير بالعامل دع
ابن مالك,الرجز,في واحدٍ ممّا بإلا استثني ,  وليس عن نصب سواه مغني,في واحدٍ ممّا بإلا استثني وليس عن نصب سواه مغني
ابن مالك,الرجز,ودون تفريغ ٍ مع التقدم ,  نصب الجميع احكم به والتزم,ودون تفريغ ٍ مع التقدم نصب الجميع احكم به والتزم
ابن مالك,الرجز,وانصب لتأخيرٍ وجيء بواحد ,  منها كما لو كان دون زائد,وانصب لتأخيرٍ وجيء بواحد منها كما لو كان دون زائد
ابن مالك,الرجز,كلم يفوا إلا امرؤ ّ إلا علي ,  وحكمها في القصد حكم الأوّل,كلم يفوا إلا امرؤ ّ إلا علي وحكمها في القصد حكم الأوّل
ابن مالك,الرجز,واستثن مجرورا ً بغير ٍ معربا ,  بما لمستثنىً بألا نسبا,واستثن مجرورا ً بغير ٍ معربا بما لمستثنىً بألا نسبا
ابن مالك,الرجز,ولسوىً سوىً سواءٍ  اجعلا ,  على الأصحّ ما لغير ٍ جعلا,ولسوىً سوىً سواءٍ اجعلا على الأصحّ ما لغير ٍ جعلا
ابن مالك,الرجز,واستثن ناصبا بليس وخلا ,  وبعدا وبيكون بعد لا,واستثن ناصبا بليس وخلا وبعدا وبيكون بعد لا
ابن مالك,الرجز,واجرر بسابقي يكون إن ترد ,  وبعد ما انصب وانجرارّ  قد يرد,واجرر بسابقي يكون إن ترد وبعد ما انصب وانجرارّ قد يرد
ابن مالك,الرجز,وحيث جرّا فهما حرفان ,  كما هما إن نصبا فعلان,وحيث جرّا فهما حرفان كما هما إن نصبا فعلان
ابن مالك,الرجز,وكخلا حاشا ولا تصحب ما ,  وقيل حاش وحشا فاحفظهما,وكخلا حاشا ولا تصحب ما وقيل حاش وحشا فاحفظهما
ابن مالك,الرجز,الحال وصفّ فضلة ّ منتصب ,  مفهم في حال كفردا ً أذهب,الحال وصفّ فضلة ّ منتصب مفهم في حال كفردا ً أذهب
ابن مالك,الرجز,وكونه منتقلا ً مشتقا ً  ,  يغلب لكن ليس مستحقا ً,وكونه منتقلا ً مشتقا ً  يغلب لكن ليس مستحقا ً
ابن مالك,الرجز,ويكثر الجمود في سعر ٍ وفي ,  مبدي تأوّل ٍ بلا تكلّف,ويكثر الجمود في سعر ٍ وفي مبدي تأوّل ٍ بلا تكلّف
ابن مالك,الرجز,كبعه مدّا بكذا يدا ً بيد ,  وكرّ زيدّ أسدا ً أي كأسد,كبعه مدّا بكذا يدا ً بيد وكرّ زيدّ أسدا ً أي كأسد
ابن مالك,الرجز,والحال إن عرّف لفظا ً فاعتقد ,  تنكيره معنىً كوحدك اجتهد,والحال إن عرّف لفظا ً فاعتقد تنكيره معنىً كوحدك اجتهد
ابن مالك,الرجز,ومصدرّ منكرّ حالا ً يقع ,  بكثرة ٍ كبغتة ٍ زيدّ طلع,ومصدرّ منكرّ حالا ً يقع بكثرة ٍ كبغتة ٍ زيدّ طلع
ابن مالك,الرجز,ولم ينكّر غالبا ً ذو الحال إن ,  لم يتأخر أو يخصّص أي يبن,ولم ينكّر غالبا ً ذو الحال إن لم يتأخر أو يخصّص أي يبن
ابن مالك,الرجز,من حد نفي او مضاهيه كلا ,  يبغ امرؤ على امرىءٍ مستشهدين,من حد نفي او مضاهيه كلا يبغ امرؤ على امرىءٍ مستشهدين
ابن مالك,الرجز,وسبق حال ٍ ما بحرف جرّ قد ,  أبوا ولا أمنعه فقد ورد,وسبق حال ٍ ما بحرف جرّ قد أبوا ولا أمنعه فقد ورد
ابن مالك,الرجز,ولا تجز حالا ً من المضاف له ,  إلا إذا اقتضى المضاف عمه,ولا تجز حالا ً من المضاف له إلا إذا اقتضى المضاف عمه
ابن مالك,الرجز,أو كان جزء ماله أضيفا ,  أو مثل جزئه فلا تحيفا,أو كان جزء ماله أضيفا أو مثل جزئه فلا تحيفا
ابن مالك,الرجز,والحال إن ينصب بفعل ٍ صرّفا ,  أو صفة ٍ أشبهت المصرّفا,والحال إن ينصب بفعل ٍ صرّفا أو صفة ٍ أشبهت المصرّفا
ابن مالك,الرجز,فجائز ّ تقديمه كمسرعا ,  ذا راحلّ ومخلصا ً زيد ّ دعا,فجائز ّ تقديمه كمسرعا ذا راحلّ ومخلصا ً زيد ّ دعا
ابن مالك,الرجز,وعامل ّ ضمّن معنى الفعل لا ,  حروفه مؤخرا ً لن يعملا,وعامل ّ ضمّن معنى الفعل لا حروفه مؤخرا ً لن يعملا
ابن مالك,الرجز,كتلك ليت وكأنّ وندر ,  نحو سعيد ّ مستقرّا ً في هجر,كتلك ليت وكأنّ وندر نحو سعيد ّ مستقرّا ً في هجر
ابن مالك,الرجز,ونحو زيد ّ مفردا ً أنفع من ,  عمرو معانا ً مستجاز ّ لن يهن,ونحو زيد ّ مفردا ً أنفع من عمرو معانا ً مستجاز ّ لن يهن
ابن مالك,الرجز,والحال قد يجيء ذا تعدّد ,  لمفردٍ فاعلم وغير مفرد,والحال قد يجيء ذا تعدّد لمفردٍ فاعلم وغير مفرد
ابن مالك,الرجز,وعامل الحال بها قد أكّدا ,  في نحو لا تعث في الأرض مفسدا,وعامل الحال بها قد أكّدا في نحو لا تعث في الأرض مفسدا
ابن مالك,الرجز, وإن تؤكد جملة ً فمضمر ,  عاملها ولفظها يؤخّر, وإن تؤكد جملة ً فمضمر عاملها ولفظها يؤخّر
ابن مالك,الرجز,وموضع الحال تجيء جمله ,  كجاء زيد ّ  وهو ناو ٍ رحله,وموضع الحال تجيء جمله كجاء زيد ّ وهو ناو ٍ رحله
ابن مالك,الرجز,وذات بدءٍ بمضارع ٍ ثبت ,  حوت ضميرا ً ومن الواو خلت,وذات بدءٍ بمضارع ٍ ثبت حوت ضميرا ً ومن الواو خلت
ابن مالك,الرجز,وجملة الحال سوى ما قدّما ,  بواو ٍ او بمضمر ٍ أو بهما,وجملة الحال سوى ما قدّما بواو ٍ او بمضمر ٍ أو بهما
ابن مالك,الرجز,والحال قد يحذف ما فيها عمل ,  وبعض ما يحذف ذكره حظل,والحال قد يحذف ما فيها عمل وبعض ما يحذف ذكره حظل
ابن مالك,الرجز,إسم ّ بمعنى من مبين ّ نكره ,  ينصب تمييزا ً بما قد فسّره,إسم ّ بمعنى من مبين ّ نكره ينصب تمييزا ً بما قد فسّره
ابن مالك,الرجز,كشبرٍ ارضا ً وقفيزٍ برّا ً ,  ومنوين عسلا ً وتمرا,كشبرٍ ارضا ً وقفيزٍ برّا ً ومنوين عسلا ً وتمرا
ابن مالك,الرجز,وبعد ذي وشبهها إذا ,  أضفتها كمدّ حنطة ٍ غذا,وبعد ذي وشبهها إذا أضفتها كمدّ حنطة ٍ غذا
ابن مالك,الرجز,والنّصب بعد ما أضيف وجبا ,  إن كان مثل ملء الأرض ذهبا,والنّصب بعد ما أضيف وجبا إن كان مثل ملء الأرض ذهبا
ابن مالك,الرجز,والفعال المعنى انصبن بأفعلا ,  مفضّلا ً كأنت أعلى منزلا,والفعال المعنى انصبن بأفعلا مفضّلا ً كأنت أعلى منزلا
ابن مالك,الرجز,وبعد كلّ ما اقتضى تعجّبا ,  ميّز كأكرم بأبي بكر ٍ أبا,وبعد كلّ ما اقتضى تعجّبا ميّز كأكرم بأبي بكر ٍ أبا
ابن مالك,الرجز,واجرر بمن إن شئت غير ذي العدد ,  والفاعل المعنى كطب نفسا تفد,واجرر بمن إن شئت غير ذي العدد والفاعل المعنى كطب نفسا تفد
ابن مالك,الرجز,وعامل التمييز قدّم مطلقا ,  والفعل ذو التصريف نزرا سبقا,وعامل التمييز قدّم مطلقا والفعل ذو التصريف نزرا سبقا
ابن مالك,الرجز,هاك حروف الجرّ وهي من إلى ,  حتى خلا حاشا عدا في عن على,هاك حروف الجرّ وهي من إلى حتى خلا حاشا عدا في عن على
ابن مالك,الرجز,مذ ربّ اللام كي واو ّ وتا ,  والكاف والواو وربّ والتا,مذ ربّ اللام كي واو ّ وتا والكاف والواو وربّ والتا
ابن مالك,الرجز,واخصص بمذ ومنذ وقتا ً وبربّ ,  منكّرا والتاء لله وربّ,واخصص بمذ ومنذ وقتا ً وبربّ منكّرا والتاء لله وربّ
ابن مالك,الرجز,وما رووا من نحو ربّه فتى ,  نزر ّ كذا كها ونحوه أتى,وما رووا من نحو ربّه فتى نزر ّ كذا كها ونحوه أتى
ابن مالك,الرجز,بعّض وبيّن وابتدئ في الأمكنة ,  بمن وقد تأتي لبدء الأزمنة,بعّض وبيّن وابتدئ في الأمكنة بمن وقد تأتي لبدء الأزمنة
ابن مالك,الرجز,وزيد في نفي وشبهه فجر ,  نكرة ً كما لباغ ٍ من مفر,وزيد في نفي وشبهه فجر نكرة ً كما لباغ ٍ من مفر
ابن مالك,الرجز,للآنتها حتى ولام ّ الى ,  ومن وباء ّ يفهمان بدلا,للآنتها حتى ولام ّ الى ومن وباء ّ يفهمان بدلا
ابن مالك,الرجز,واللام للملك وشبهه وفي ,  تعدية ٍ أيضا وتعليل ٍ قفي,واللام للملك وشبهه وفي تعدية ٍ أيضا وتعليل ٍ قفي
ابن مالك,الرجز,وزيد والظرفيّة استبن ببا ,  وفي وقد يبيّنان السّببا,وزيد والظرفيّة استبن ببا وفي وقد يبيّنان السّببا
ابن مالك,الرجز,بالبا استعن وعدّ عوّض ألصق ,  ومثل مع ومن وعن بها انطلق,بالبا استعن وعدّ عوّض ألصق ومثل مع ومن وعن بها انطلق
ابن مالك,الرجز,على للاستعلا ومعنى في وعن ,  بعن تجاوزا ً عنى بها انطق,على للاستعلا ومعنى في وعن بعن تجاوزا ً عنى بها انطق
ابن مالك,الرجز,على للاستعلا ومعنى في وعن , بعن تجاوزا ً عنى من قد فطن,على للاستعلا ومعنى في وعن بعن تجاوزا ً عنى من قد فطن
ابن مالك,الرجز,وقد تجى موضع بعد ٍ وعلى ,  كما على موضع عن قد جعلا,وقد تجى موضع بعد ٍ وعلى كما على موضع عن قد جعلا
ابن مالك,الرجز,شبّه بكاف ٍ وبها التعليل قد ,  يعنى وزائدا لتوكيدٍ ورد,شبّه بكاف ٍ وبها التعليل قد يعنى وزائدا لتوكيدٍ ورد
ابن مالك,الرجز,واستعمل اسما ً وكذا عن وعلى ,  من أجل ذا عليهما من دخلا,واستعمل اسما ً وكذا عن وعلى من أجل ذا عليهما من دخلا
ابن مالك,الرجز,ومذ ومنذ اسمان حيث رفعا ,  أو أوليا الفعل كجئت مذ دعا,ومذ ومنذ اسمان حيث رفعا أو أوليا الفعل كجئت مذ دعا
ابن مالك,الرجز,وإن يجرّا في مضيٍّ فكمن ,  هما وفي الحضور معنى في استبن,وإن يجرّا في مضيٍّ فكمن هما وفي الحضور معنى في استبن
ابن مالك,الرجز,وبعد من وعن وباءٍ زيد ما ,  فلم يعق عن عملٍ قد علما,وبعد من وعن وباءٍ زيد ما فلم يعق عن عملٍ قد علما
ابن مالك,الرجز,وزيد بعد رُبٍّ  والكاف فكفّ ,  وقد يليهما وجرّّّ لم يكف,وزيد بعد رُبٍّ والكاف فكفّ وقد يليهما وجرّّّ لم يكف
ابن مالك,الرجز,وحذفت رُبّ لدى ,  حذف ٍ وبعضه يرى مطرّدا,وحذفت رُبّ لدى حذف ٍ وبعضه يرى مطرّدا
ابن مالك,الرجز,نونا ً تلي الإعراب أو تنوينا ,  مما تضيف احذف كطور سينا,نونا ً تلي الإعراب أو تنوينا مما تضيف احذف كطور سينا
ابن مالك,الرجز,والثاني اجرر وانو من أو في إذا ,  لم يصلح إلا ذاك واللام خذا,والثاني اجرر وانو من أو في إذا لم يصلح إلا ذاك واللام خذا
ابن مالك,الرجز,لما سوى ذينك واخصص أوّلا ,  أو أعطه التعريف بالذي تلا,لما سوى ذينك واخصص أوّلا أو أعطه التعريف بالذي تلا
ابن مالك,الرجز,وإن يشابه المضاف يفعل ,  وصفا ً فعن تنكيره لا يعزل,وإن يشابه المضاف يفعل وصفا ً فعن تنكيره لا يعزل
ابن مالك,الرجز,كربّ راجينا عظيم الأمل ,  مروّع القلب قليل الحيل,كربّ راجينا عظيم الأمل مروّع القلب قليل الحيل
ابن مالك,الرجز,وذي الإضافة اسمها لفظية ,  وتلك محضة ّ ومعنويّة,وذي الإضافة اسمها لفظية وتلك محضة ّ ومعنويّة
ابن مالك,الرجز,ووصل أل بذا المضاف مغتفر ,  إن وُصلت بالثاني كالجعد الشعر,ووصل أل بذا المضاف مغتفر إن وُصلت بالثاني كالجعد الشعر
ابن مالك,الرجز,أو بالذي له أضيف الثاني ,  كزيد ُ الضاربُ رأسِِِِِ الجاني,أو بالذي له أضيف الثاني كزيد ُ الضاربُ رأسِِِِِ الجاني
ابن مالك,الرجز,وكونها في الوصف كاف ٍ إن وقع ,  مثنّىً أو جمعا ً سبيله اتبع,وكونها في الوصف كاف ٍ إن وقع مثنّىً أو جمعا ً سبيله اتبع
ابن مالك,الرجز,وربّما أكسب ثان ٍ أولا ,  تأنيثا ً ان كان الحذف موهلا,وربّما أكسب ثان ٍ أولا تأنيثا ً ان كان الحذف موهلا
ابن مالك,الرجز,ولا يضاف اسمّ لما به اتحد ,  معنى وأوّل موهما ً إذا ورد,ولا يضاف اسمّ لما به اتحد معنى وأوّل موهما ً إذا ورد
ابن مالك,الرجز,وبعض الأسماء يضاف أبدا ,  وبعض ذا قد يأت لفظا ً مفردا,وبعض الأسماء يضاف أبدا وبعض ذا قد يأت لفظا ً مفردا
ابن مالك,الرجز,وبعض ما يضاف حتما امتنع ,  إيلاؤه اسما ً ظاهرا ً  حيث وقع,وبعض ما يضاف حتما امتنع إيلاؤه اسما ً ظاهرا ً حيث وقع
ابن مالك,الرجز,كوحد لبّى ودوالي سعديْ ,  وشذ ّ إيلاء يديْ للبّى,كوحد لبّى ودوالي سعديْ وشذ ّ إيلاء يديْ للبّى
ابن مالك,الرجز,وألزموا إضافة ً الى الجمل ,  حيث وإذا وإن ينوّن يحتمل,وألزموا إضافة ً الى الجمل حيث وإذا وإن ينوّن يحتمل
ابن مالك,الرجز,إفراد إذا وما كإذ معنىً كإذا ,  أضف جوازا ً نحو حين جانبذ,إفراد إذا وما كإذ معنىً كإذا أضف جوازا ً نحو حين جانبذ
ابن مالك,الرجز,وابن أو اعرب ما كإذ قد أجريا ,  واختر بنا متلوّ فعل ٍ بنيا,وابن أو اعرب ما كإذ قد أجريا واختر بنا متلوّ فعل ٍ بنيا
ابن مالك,الرجز,وقبل فعل ٍ معرب أو مبتدا ,  أعرب ومن بنى فلن يفنّدا,وقبل فعل ٍ معرب أو مبتدا أعرب ومن بنى فلن يفنّدا
ابن مالك,الرجز,وألزموا إذا إضافة ً الى ,  جمل الافعال كهن إذا اعتلى,وألزموا إذا إضافة ً الى جمل الافعال كهن إذا اعتلى
ابن مالك,الرجز,لمفهم اثنين معرّف ٍ بلا ,  تفرّق ٍ أضيف كلتا وكلا,لمفهم اثنين معرّف ٍ بلا تفرّق ٍ أضيف كلتا وكلا
ابن مالك,الرجز,ولا تضف لمفردٍ معرّف ٍ ,  أيّا وإن كرّرتها فأضف,ولا تضف لمفردٍ معرّف ٍ أيّا وإن كرّرتها فأضف
ابن مالك,الرجز,اوتنوِ الأجزا واخصص بالمعرفة ,  موصولة ً أيّا ً وبالعكس الصّفه,اوتنوِ الأجزا واخصص بالمعرفة موصولة ً أيّا ً وبالعكس الصّفه
ابن مالك,الرجز,وإن تكن شرطا ً او استفهاما ,  فمطلقا ً كمّل بها الكلاما,وإن تكن شرطا ً او استفهاما فمطلقا ً كمّل بها الكلاما
ابن مالك,الرجز,والزموا إضافة ً لدن فجرّ ,  ونصبُ غدوة ٍ بهما عنهم ندر,والزموا إضافة ً لدن فجرّ ونصبُ غدوة ٍ بهما عنهم ندر
ابن مالك,الرجز,ومع مع فيها قليل ّ  ونقل ,  فتح ّ وكسرّ لسكون ٍ يتصل,ومع مع فيها قليل ّ ونقل فتح ّ وكسرّ لسكون ٍ يتصل
ابن مالك,الرجز,واضمم بناءً غيرا ً ان عدمت ما ,  له أضيف ناوياً ما عدما,واضمم بناءً غيرا ً ان عدمت ما له أضيف ناوياً ما عدما
ابن مالك,الرجز,قبلُ كغيرُ بعدُ حسبُ أوّلُ ,  ودونُ والجهاتُ أيضاً وعلُّ,قبلُ كغيرُ بعدُ حسبُ أوّلُ ودونُ والجهاتُ أيضاً وعلُّ
ابن مالك,الرجز,وأعربوا نصباً إذا ما نكّرا ,  قبلا ً وما من بعده قد ذكرا,وأعربوا نصباً إذا ما نكّرا قبلا ً وما من بعده قد ذكرا
ابن مالك,الرجز,وما يلي المضاف يأتي خلفا ,  عنه في الاعراب إذا ما حذفا,وما يلي المضاف يأتي خلفا عنه في الاعراب إذا ما حذفا
ابن مالك,الرجز,ورّبّما جرّوا الذي أبقوْا كما ,  قد كان قبل حذف ما تقدّما,ورّبّما جرّوا الذي أبقوْا كما قد كان قبل حذف ما تقدّما
